x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
1.771037688369389573e-01,-4.324310878772725797e-01,2.345972150642485321e+00,2.493150200793677218e+00,2.185657749288694163e-02,2.113310323156376569e+00
-8.244183661087282552e-03,-2.432544848420524208e-01,2.369199172165298073e+00,2.504078489540120689e+00,2.922384096427599331e-02,2.156245411454308591e+00
-1.906515036802589602e-01,-7.411862764957044547e-02,2.441807479534542580e+00,2.522374041757953211e+00,4.440467788269186755e-02,2.259793372212507201e+00
-3.761004170192276397e-01,6.645148126246722131e-02,2.554599873320602121e+00,2.548483167422812556e+00,6.040264708634124347e-02,2.392451912192750996e+00
-5.695444790264916346e-01,1.779243948394927388e-01,2.679483435626218490e+00,2.582776688844294455e+00,7.705613593334081912e-02,2.514555896978029725e+00
-7.741362391868077397e-01,2.647045616206129548e-01,2.791471839597457816e+00,2.625539303356153376e+00,9.418422410591942295e-02,2.595352950013835702e+00
-9.911696149898800989e-01,3.318873116683844771e-01,2.883635103671875921e+00,2.676960912950213878e+00,1.115897219894073089e-01,2.622477621021745087e+00
-1.220274642060301451e+00,3.824118160469331396e-01,2.962596822375803463e+00,2.737129025345560684e+00,1.290645973501352017e-01,2.600891057042095778e+00
-1.459567454982353407e+00,4.166356094643875463e-01,3.036563065733806965e+00,2.806025510300349080e+00,1.463999312916901552e-01,2.544119040666600551e+00
-1.705886785405648975e+00,4.336038346074123639e-01,3.109470706368500093e+00,2.883528956637250840e+00,1.633935997716693400e-01,2.464022733352381866e+00
-1.955403931402910356e+00,4.325683228621033383e-01,-3.101870032749956430e+00,2.969419110072018420e+00,1.798524046716334368e-01,2.364843827760938488e+00
-2.204594590155897205e+00,4.137834276878070705e-01,-3.033002440041783210e+00,3.063381361308884276e+00,1.955923272261301804e-01,2.244110868792282165e+00
-2.451126358821603013e+00,3.785251286297552920e-01,-2.969774779896513728e+00,3.165011437298148600e+00,2.104393089510141479e-01,2.099132684999406528e+00
-2.694171990276512219e+00,3.288276255968676232e-01,-2.915523165376704640e+00,3.273820670259898424e+00,2.242304333122469018e-01,1.935103845274870338e+00
-2.934025395294652672e+00,2.674577908405239568e-01,-2.873916161654914703e+00,3.389241870610395502e+00,2.368150395619221804e-01,1.769589633577954402e+00
-3.171351646491219256e+00,1.979571626117219152e-01,-2.848143288910567783e+00,3.510635709821820605e+00,2.480557881183278468e-01,1.629850935138657420e+00
-3.406619299017364710e+00,1.246525770104706110e-01,-2.840049233968687581e+00,3.637297658728723349e+00,2.578297230375614646e-01,1.542705648253474671e+00
-3.639974867837135974e+00,5.220214129481388909e-02,-2.849313032023539360e+00,3.768465432859382069e+00,2.660290233656041892e-01,1.521410057602520460e+00
-3.871519555892734665e+00,-1.523456354958984543e-02,-2.873044040290152257e+00,3.903326682094327538e+00,2.725615141047512680e-01,1.556874950321173623e+00
-4.101659285800683286e+00,-7.485165909141650031e-02,-2.905840311070227777e+00,4.041026946964133337e+00,2.773516954748123098e-01,1.619157714960858696e+00
-4.331244494870508888e+00,-1.256693742865940266e-01,-2.940841603311887820e+00,4.180678377569139847e+00,2.803428541227637183e-01,1.669618633222294646e+00
-4.561394709730620889e+00,-1.684041706285611673e-01,-2.971832400852748801e+00,4.321369801086897056e+00,2.815001691188321331e-01,1.677739805754558278e+00
-4.793124763742160788e+00,-2.048402807121980640e-01,-2.995266012491406116e+00,4.462178546687971981e+00,2.808144417100129075e-01,1.633791492296881476e+00
-5.027024063985750857e+00,-2.370286345091535685e-01,-3.010970689356052610e+00,4.602184242796909963e+00,2.783060765332159292e-01,1.551103215338647923e+00
-5.263098562949685366e+00,-2.665807220434815439e-01,-3.021262742423226122e+00,4.740484623221187910e+00,2.740289321057165495e-01,1.457676166874327217e+00
